State,Year,Crop,Yield,Rainfall_x,Pesticides,Fertilizer_Total,Rainfall_y,Pesticides_total_country
Andhra Pradesh,2000,Small millets,0.6748958335,935.6,8674.51,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Sugarcane,73.8955,935.6,61659.0,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Sunflower,1.038421053,935.6,51287.85999999999,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Sweet potato,13.932777780000002,935.6,503.88000000000005,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Tapioca,7.528,935.6,5591.56,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Tobacco,3.364285714,935.6,32797.44,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Urad,0.40847727250000004,935.6,72187.31,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Wheat,0.581818182,935.6,3707.86,118293.45454545454,931.8,89916.0
Andhra Pradesh,2001,Arecanut,1.71,928.4,69.68,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Arhar/Tur,0.4625,928.4,54579.2,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Bajra,0.823382353,928.4,11899.55,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Banana,11.733636359999998,928.4,13131.82,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Cashewnut,0.23600000000000002,928.4,38316.2,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Castor seed,0.296842105,928.4,73732.1,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Coconut ,9057.671111,928.4,27103.44,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Coriander,0.531176471,928.4,15057.38,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Cotton(lint),1.8204545450000003,928.4,288041.52,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Dry chillies,2.3868181815000002,928.4,29227.64,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Ginger,2.4375,928.4,662.22,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Gram,1.2559285715,928.4,37073.01,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Groundnut,1.2977272725,928.4,219845.34000000003,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Horse-gram,0.4134920635,928.4,10444.07,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Jowar,0.8460930735000001,928.4,83112.77,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Linseed,0.218333333,928.4,1526.7200000000003,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Maize,4.1973376625,928.4,55677.05,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Mesta,8.370909091,928.4,20524.92,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Moong(Green Gram),0.379818182,928.4,61884.55,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Niger seed,0.37999999999999995,928.4,4963.4,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Onion,16.912740645,928.4,4137.25,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Other  Rabi pulses,0.510666667,928.4,3575.0,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Other Kharif pulses,0.314210526,928.4,4506.06,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Potato,5.85,928.4,610.48,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Ragi,1.4953333334999999,928.4,10624.510000000002,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Rapeseed &Mustard,0.3275,928.4,637.52,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Rice,2.8265909089999997,928.4,497217.11,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Safflower,0.303,928.4,5129.28,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Sesamum,0.2258897245,928.4,17203.68,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Small millets,0.600642857,928.4,7449.130000000001,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Sugarcane,84.989,928.4,56757.48,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Sunflower,0.986111111,928.4,69579.38,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Sweet potato,14.05764706,928.4,505.7,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Tapioca,7.829999999999999,928.4,4600.44,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Tobacco,2.97047619,928.4,49123.35999999999,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Urad,0.4138203465,928.4,81495.96,111201.63636363637,966.9,87442.0
Andhra Pradesh,2001,Wheat,0.6275,928.4,3586.18,111201.63636363637,966.9,87442.0
Andhra Pradesh,2002,Arecanut,1.4525,648.1,74.0,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Arhar/Tur,0.31853030299999996,648.1,53954.5,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Bajra,0.650378151,648.1,10872.375,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Banana,26.83952381,648.1,9838.5,95747.09090909091,659.2,84966.0
