State,Year,Rainfall
Arunachal Pradesh,1944,0.6062403154231196
Arunachal Pradesh,1945,0.5648653691699861
Arunachal Pradesh,1946,0.623585341911198
Arunachal Pradesh,1947,0.6816562958876549
Arunachal Pradesh,1948,1.0
Arunachal Pradesh,1949,0.7636922677526913
Arunachal Pradesh,1950,0.6403381387764373
Arunachal Pradesh,1951,0.5169840098001833
Arunachal Pradesh,1952,0.3615277901722333
Arunachal Pradesh,1953,0.5057938445978652
Arunachal Pradesh,1957,0.6500598990234971
Arunachal Pradesh,1958,0.794325953449129
Arunachal Pradesh,1959,0.6534888814972862
Arunachal Pradesh,1960,0.5746168761104306
Arunachal Pradesh,1961,0.5692786967703204
Arunachal Pradesh,1962,0.6067189667621264
Arunachal Pradesh,1963,0.6441592367539326
Arunachal Pradesh,1964,0.7774190146272604
Arunachal Pradesh,1965,0.3291904302183137
Arunachal Pradesh,1966,0.33126729026552976
Arunachal Pradesh,1967,0.24347127686329229
Arunachal Pradesh,1968,0.3198121090676034
Arunachal Pradesh,1969,0.27741495825998064
Arunachal Pradesh,1970,0.2929427322067449
Arunachal Pradesh,1971,0.3271946975166919
Arunachal Pradesh,1972,0.3429009516237638
Arunachal Pradesh,1973,0.3714902282112231
Arunachal Pradesh,1974,0.4698814729480866
Arunachal Pradesh,1975,0.3318676326229282
Arunachal Pradesh,1976,0.36532454994605024
Arunachal Pradesh,1977,0.585147205568581
Arunachal Pradesh,1978,0.3834159480135969
Arunachal Pradesh,1979,0.4227789360959898
Arunachal Pradesh,1980,0.4944468331940646
Arunachal Pradesh,1981,0.42558594225355534
Arunachal Pradesh,1982,0.4237362387740035
Arunachal Pradesh,1983,0.5139173961367158
Arunachal Pradesh,1984,0.5046202023315999
Arunachal Pradesh,1985,0.5027055969755725
Arunachal Pradesh,1986,0.3776721319455148
Arunachal Pradesh,1987,0.5298021304040953
Arunachal Pradesh,1988,0.6469662429114982
Arunachal Pradesh,1989,0.5052043192198794
Arunachal Pradesh,1990,0.5575152316591353
Arunachal Pradesh,1991,0.5299968360335218
Arunachal Pradesh,1992,0.4119727736628185
Arunachal Pradesh,1993,0.5161240599368829
Arunachal Pradesh,1994,0.3438907052400152
Arunachal Pradesh,1995,0.47067652093491147
Arunachal Pradesh,1996,0.38171227375611494
Arunachal Pradesh,1997,0.34186252160015573
Arunachal Pradesh,1998,0.5595758662372325
Arunachal Pradesh,1999,0.34862854222272693
Arunachal Pradesh,2000,0.39409230669381723
Arunachal Pradesh,2001,0.3030998758751612
Arunachal Pradesh,2002,0.36040823280303086
Arunachal Pradesh,2003,0.3705653764714472
Arunachal Pradesh,2004,0.3858010919740716
Arunachal Pradesh,2005,0.3516951558861945
Arunachal Pradesh,2006,0.3393800248249677
Arunachal Pradesh,2007,0.4628720702887321
Arunachal Pradesh,2008,0.3369137535188986
Arunachal Pradesh,2009,0.25667880872605725
Arunachal Pradesh,2010,0.4361000462425869
Arunachal Pradesh,2011,0.32868744067562844
Arunachal Pradesh,2012,0.5309541387115355
Arunachal Pradesh,2013,0.3042194332443636
Arunachal Pradesh,2014,0.36267979847967347
Arunachal Pradesh,2015,0.4217891824797384
Arunachal Pradesh,2016,0.4119565481936996
Arunachal Pradesh,2017,0.41818712833534794
Assam,1901,0.3781588960190811
Assam,1902,0.4517413984731833
Assam,1903,0.38563883728288284
Assam,1904,0.4050120474108207
Assam,1905,0.4255372658461987
Assam,1906,0.40489846912698857
Assam,1907,0.3818096265708282
Assam,1908,0.34233306020460313
Assam,1909,0.358428725570528
Assam,1910,0.4412272944841517
Assam,1911,0.47512229947348344
Assam,1912,0.41789506989120817
Assam,1913,0.42065339964141707
Assam,1914,0.35304186982306124
Assam,1915,0.4863016476963889
Assam,1916,0.3947900018659289
Assam,1917,0.38161492094140165
Assam,1918,0.47684219920008436
Assam,1919,0.3531067716995367
Assam,1920,0.39844073241767597
Assam,1921,0.4594647217737682
Assam,1922,0.3397532106147019
Assam,1923,0.36874812393013306
Assam,1924,0.40944160048027384
Assam,1925,0.3865799144917777
Assam,1926,0.3802844324736538
Assam,1927,0.4259429025741706
Assam,1928,0.4001768576133957
Assam,1929,0.4520172314482042
Assam,1930,0.3866123654300154
Assam,1931,0.4270786854124919
Assam,1932,0.44145445105181597
Assam,1933,0.352279272774474
Assam,1934,0.4716662745511629
Assam,1935,0.40733228949482
Assam,1936,0.4061802811873798
Assam,1937,0.349926579752237
Assam,1938,0.4248720216123248
Assam,1939,0.3624201909737715
Assam,1940,0.3705329255332094
Assam,1941,0.4123784103907904
Assam,1942,0.40710513292715567
Assam,1943,0.4114373331818955
Assam,1944,0.38232884158263225
Assam,1945,0.4052716549167227
Assam,1946,0.4075107696551276
Assam,1947,0.40163714983409454
Assam,1948,0.48959541792752076
Assam,1949,0.45681997030739147
Assam,1950,0.3609274478148349
Assam,1951,0.3968506364440262
Assam,1952,0.4353861256013564
Assam,1953,0.38810510858895203
Assam,1954,0.43665171219262866
Assam,1955,0.4207669779252492
Assam,1956,0.42753299854782045
Assam,1957,0.33899061356611465
Assam,1958,0.3988950455530045
Assam,1959,0.38419477053130296
Assam,1960,0.35278226231715915
Assam,1961,0.32894704818153053
Assam,1962,0.34526987011511967
Assam,1963,0.38030065794277274
Assam,1964,0.4156397296836844
Assam,1965,0.36198210330756186
Assam,1966,0.42532633474765336
Assam,1967,0.31728093588505873
Assam,1968,0.3833834970753592
Assam,1969,0.3511597154052716
Assam,1970,0.46736652523466077
Assam,1971,0.3483851601859438
Assam,1972,0.3587694604220244
Assam,1973,0.4063100849403308
Assam,1974,0.5249831660757891
Assam,1975,0.341164826428044
Assam,1976,0.2901195005800605
Assam,1977,0.39730494957935464
Assam,1978,0.2991895378175121
Assam,1979,0.32784371628144693
Assam,1980,0.34418276368415496
Assam,1981,0.3101255040036345
Assam,1982,0.35927244996470953
Assam,1983,0.39785661552939644
Assam,1984,0.48498738469776
Assam,1985,0.42732206744927503
Assam,1986,0.3934432879290622
Assam,1987,0.4467601794536884
Assam,1988,0.5019754508652231
Assam,1989,0.40793263185221834
Assam,1990,0.42238952483713677
Assam,1991,0.4332281382085459
Assam,1992,0.3394124757632055
Assam,1993,0.43991303148552274
Assam,1994,0.31694020103356235
Assam,1995,0.4410325888547252
Assam,1996,0.37301542230839746
Assam,1997,0.3576499030528219
Assam,1998,0.4275654494860582
Assam,1999,0.39367044449672645
Assam,2000,0.3762767416012915
Assam,2001,0.32620494390044047
Assam,2002,0.3609761242221915
Assam,2003,0.36769346843740613
Assam,2004,0.45858854644134894
Assam,2005,0.3732425788760617
Assam,2006,0.2808060813058257
Assam,2007,0.41940403851926367
Assam,2008,0.35237662558918725
Assam,2009,0.3083244769314392
Assam,2010,0.41270291977316786
Assam,2011,0.2556241532333303
Assam,2012,0.3961367158027956
Assam,2013,0.26746874569010975
Assam,2014,0.33069939884636906
Assam,2015,0.3736644410731525
Assam,2016,0.34056448407064566
Assam,2017,0.4127353707114056
Bihar,1901,0.1272644670339031
Bihar,1902,0.168460933126729
Bihar,1903,0.13764876726998365
Bihar,1904,0.17873165507897742
Bihar,1905,0.21588797936120324
Bihar,1906,0.17801773443774688
Bihar,1907,0.15551300876986604
Bihar,1908,0.09241215936655767
Bihar,1909,0.19836447271281726
Bihar,1910,0.19966251024232734
Bihar,1911,0.20788882308559745
Bihar,1912,0.15599977284343233
Bihar,1913,0.22095032572629253
Bihar,1914,0.14470684633669467
Bihar,1915,0.1916958049049593
Bihar,1916,0.21687773297745466
Bihar,1917,0.18921330812977125
Bihar,1918,0.20180427216601898
Bihar,1919,0.1760057762670063
Bihar,1920,0.15510737204189415
Bihar,1921,0.1791697427451871
Bihar,1922,0.20788882308559745
Bihar,1923,0.13221323511516023
Bihar,1924,0.2090408313930376
Bihar,1925,0.16607578916625423
Bihar,1926,0.15476663719039774
Bihar,1927,0.15126193586072056
Bihar,1928,0.17553523766255888
Bihar,1929,0.1932859008786091
Bihar,1930,0.15354972700648203
Bihar,1931,0.1587418771245223
Bihar,1932,0.12314319787770861
Bihar,1933,0.19870520756431365
Bihar,1934,0.1716898014813853
Bihar,1935,0.17401004356538458
Bihar,1936,0.22789482650917142
Bihar,1937,0.18471885318384265
Bihar,1938,0.21721846782895107
Bihar,1939,0.17446435670071309
Bihar,1940,0.1493311050355743
Bihar,1941,0.171203037407819
Bihar,1942,0.17597332532876853
Bihar,1943,0.16257108783657706
Bihar,1944,0.17212788914759494
Bihar,1945,0.17441568029335647
Bihar,1946,0.1988836877246213
Bihar,1947,0.14994767286209157
Bihar,1948,0.1835506194072836
Bihar,1949,0.2071100005678914
Bihar,1950,0.15522095032572625
Bihar,1951,0.11069826306353081
Bihar,1952,0.16855828594144223
Bihar,1953,0.19644986735678993
Bihar,1954,0.14319787770863923
Bihar,1955,0.17462661139190183
Bihar,1956,0.2150604804361406
Bihar,1957,0.12963338552525897
Bihar,1958,0.16216545110860517
Bihar,1959,0.16414495834110798
Bihar,1960,0.17522695374930025
Bihar,1961,0.17688195159942557
Bihar,1962,0.16390157630432486
Bihar,1963,0.18791527060026117
Bihar,1964,0.15488021547422987
Bihar,1965,0.13544210346981655
Bihar,1966,0.09719867275662605
Bihar,1967,0.13498779033448802
Bihar,1968,0.157735898039152
Bihar,1969,0.1818307196806827
Bihar,1970,0.1471244412354072
Bihar,1971,0.205195395211864
Bihar,1972,0.08923196741925798
Bihar,1973,0.16567015243828234
Bihar,1974,0.173166319171203
Bihar,1975,0.1462158149647501
Bihar,1976,0.16124059936882923
Bihar,1977,0.15893658275394884
Bihar,1978,0.182187680001298
Bihar,1979,0.13531229971686554
Bihar,1980,0.1759246489214119
Bihar,1981,0.1941783016801473
Bihar,1982,0.12421407883955443
Bihar,1983,0.15191095462547557
Bihar,1984,0.204156965188256
Bihar,1985,0.20882990029449222
Bihar,1986,0.18726625183550616
Bihar,1987,0.24215701386466332
Bihar,1988,0.18974874861069418
Bihar,1989,0.17879655695545296
Bihar,1990,0.1738477888741958
Bihar,1991,0.14241905519093317
Bihar,1992,0.10216366630700208
Bihar,1993,0.16880166797822538
Bihar,1994,0.13003902225323086
Bihar,1995,0.15316031574762903
Bihar,1996,0.15239771869904187
Bihar,1997,0.184280765517633
Bihar,1998,0.18895370062386926
Bihar,1999,0.20034397994532013
Bihar,2000,0.16859073687968001
Bihar,2001,0.17508092452723037
Bihar,2002,0.15217056213137758
Bihar,2003,0.1924259510153087
Bihar,2004,0.15898525916130546
Bihar,2005,0.1200441332760033
Bihar,2006,0.14357106349837337
Bihar,2007,0.23238928145510002
Bihar,2008,0.16708176825162455
Bihar,2009,0.11704242148901126
Bihar,2010,0.07483997631081507
Bihar,2011,0.15075894631803538
Bihar,2012,0.1402610677981227
Bihar,2013,0.14634561871770116
Bihar,2014,0.1449015519661212
Bihar,2015,0.1143489936152779
Bihar,2016,0.1606402570114308
Bihar,2017,0.1531765412167479
Chandigarh,1901,0.0360448796475828
Chandigarh,1902,0.04086384397588894
Chandigarh,1903,0.04234036166570664
Chandigarh,1904,0.05838735062427491
Chandigarh,1905,0.025141364399698198
Chandigarh,1906,0.06906370930449526
Chandigarh,1907,0.044774182033538036
Chandigarh,1908,0.08454280684390286
Chandigarh,1909,0.09757185854636019
Chandigarh,1910,0.07094586372228487
Chandigarh,1911,0.05545054071375837
Chandigarh,1912,0.05863073266105804
Chandigarh,1913,0.05523960961521298
Chandigarh,1914,0.08060001784801601
Chandigarh,1915,0.04128570617297971
Chandigarh,1916,0.07482375084169621
Chandigarh,1917,0.1328460284107964
Chandigarh,1918,0.010830500636849656
Chandigarh,1919,0.06258974712606377
Chandigarh,1920,0.03258885472526224
Chandigarh,1921,0.045196044230628805
Chandigarh,1922,0.06245994337311276
Chandigarh,1923,0.06710042754111128
Chandigarh,1924,0.07899369640524731
Chandigarh,1925,0.06315763854522444
Chandigarh,1926,0.07268198891800456
Chandigarh,1927,0.054282306937199314
Chandigarh,1928,0.03573659573432416
Chandigarh,1929,0.022496612933321433
Chandigarh,1930,0.053957797554821794
Chandigarh,1931,0.056991960280051594
Chandigarh,1932,0.04415761420702075
Chandigarh,1933,0.1117853694944955
Chandigarh,1934,0.05410382677689168
Chandigarh,1935,0.06495866561741964
Chandigarh,1936,0.05567769728142264
Chandigarh,1937,0.05090740936047312
Chandigarh,1938,0.017985932518273934
Chandigarh,1939,0.023080729821600962
Chandigarh,1940,0.03695350591823985
Chandigarh,1941,0.03179380673843731
Chandigarh,1942,0.10328322367620452
Chandigarh,1943,0.038933013150742705
Chandigarh,1944,0.05131304608844502
Chandigarh,1945,0.07896124546700956
Chandigarh,1946,0.043784428417286615
Chandigarh,1947,0.04811662867202648
Chandigarh,1948,0.06882032726771212
Chandigarh,1949,0.05149152624875266
Chandigarh,1950,0.062167884928972995
Chandigarh,1951,0.02762386117488621
Chandigarh,1952,0.06301160932315453
Chandigarh,1953,0.0639202355938116
Chandigarh,1954,0.0598800937832115
Chandigarh,1955,0.08537030576896554
Chandigarh,1956,0.07883144171405854
Chandigarh,1957,0.07289292001654998
Chandigarh,1958,0.08194673178488271
Chandigarh,1959,0.05142662437227715
Chandigarh,1960,0.0900432408752018
Chandigarh,1961,0.07462904521226968
Chandigarh,1962,0.05566147181230376
Chandigarh,1963,0.05741382247714235
Chandigarh,1964,0.08809618458093668
Chandigarh,1965,0.03471439117983498
Chandigarh,1966,0.08757696956913266
Chandigarh,1967,0.10902703974428657
Chandigarh,1968,0.03575282120344304
Chandigarh,1969,0.050177263250123706
Chandigarh,1970,0.06007479941263801
Chandigarh,1971,0.07607311196384964
Chandigarh,1972,0.04427119249085288
Chandigarh,1973,0.05828999780956167
Chandigarh,1974,0.035201155253401256
Chandigarh,1975,0.07368796800337488
Chandigarh,1976,0.09065980870171908
Chandigarh,1977,0.09283402156364845
Chandigarh,1978,0.07839335404784889
Chandigarh,1979,0.02815930165580912
Chandigarh,1980,0.05601843213291904
Chandigarh,1981,0.0528057892473816
Chandigarh,1982,0.05494755117107323
Chandigarh,1983,0.093547942204879
Chandigarh,1984,0.050501772632501225
Chandigarh,1985,0.06562390985129357
Chandigarh,1986,0.04590996487185934
Chandigarh,1987,0.02444366922758654
Chandigarh,1988,0.10985453866934924
Chandigarh,1989,0.040328403494966046
Chandigarh,1990,0.08683059798966436
Chandigarh,1991,0.036661447474100085
Chandigarh,1992,0.04247016541865766
Chandigarh,1993,0.05773833185951987
Chandigarh,1994,0.0643258723217835
Chandigarh,1995,0.10565214216756039
Chandigarh,1996,0.07733869855512196
Chandigarh,1997,0.08123281114365219
Chandigarh,1998,0.08394246448650444
Chandigarh,1999,0.028629840260256514
Chandigarh,2000,0.035120027907806876
Chandigarh,2001,0.051523977186990415
Chandigarh,2002,0.030706700307472634
Chandigarh,2003,0.0697127280692503
Chandigarh,2004,0.05181603563113018
Chandigarh,2005,0.05704063668740821
Chandigarh,2006,0.026439401929208267
Chandigarh,2007,0.04521226969974768
Chandigarh,2008,0.08801505723534231
Chandigarh,2009,0.03690482951088322
Chandigarh,2010,0.07667345432124806
Chandigarh,2011,0.05582372650349252
Chandigarh,2012,0.03625581074612819
Chandigarh,2013,0.04758118819110357
Chandigarh,2014,0.022318132773013796
Chandigarh,2015,0.04337879168931471
Chandigarh,2016,0.03744026999180613
Chandigarh,2017,0.04115590242002872
Chhattisgarh,1901,0.19779658129365663
Chhattisgarh,1902,0.12265643380414235
Chhattisgarh,1903,0.18874276952532387
Chhattisgarh,1904,0.21489822574495182
Chhattisgarh,1905,0.17574616876110427
Chhattisgarh,1906,0.19902971694669117
Chhattisgarh,1907,0.18510826444269565
