State,Year,Pesticides
India,1998,0.011133333333333334
India,1998,0.13736
India,1998,0.07145333333333333
India,1998,0.047
India,1998,0.007893333333333334
India,1998,0.00028
India,1998,0.0028666666666666667
India,1998,0.007866666666666666
India,1998,0.0006399999999999999
India,1998,0.00804
India,1998,0.00056
India,1998,0.00748
India,1998,0.004853333333333334
India,1999,0.6159333333333333
India,1999,0.38623999999999997
India,1999,0.05036
India,1999,0.27682666666666667
India,1999,0.016746666666666667
India,1999,0.025146666666666668
India,1999,0.011653333333333333
India,1999,0.005506666666666667
India,1999,0.09973333333333333
India,1999,0.009066666666666667
India,1999,0.005653333333333333
India,1999,0.03464
India,1999,0.0021466666666666665
India,1999,0.0358
India,1999,0.0015066666666666666
India,1999,0.01092
India,1999,0.11041333333333334
India,1999,0.04906666666666667
